ts,id_partai,id_pilihan,is_aceh,nama,nama_lengkap,nomor_urut,warna,jumlah_suara
2024-02-17 16:00:02,100001,1,False,Partai Kebangkitan Bangsa,Partai Kebangkitan Bangsa,1,#00764A,1256766
2024-02-17 16:00:02,100002,2,False,Partai Gerakan Indonesia Raya,Partai Gerakan Indonesia Raya,2,#990001,1700977
2024-02-17 16:00:02,100003,3,False,Partai Demokrasi Indonesia Perjuangan,Partai Demokrasi Indonesia Perjuangan,3,#D52027,1221436
2024-02-17 16:00:02,100004,4,False,Partai Golongan Karya,Partai Golongan Karya,4,#FFF051,1818326
2024-02-17 16:00:02,100005,5,False,Partai NasDem,Partai NasDem,5,#242464,690050
2024-02-17 16:00:02,100006,6,False,Partai Buruh,Partai Buruh,6,#FF6800,93926
2024-02-17 16:00:02,100007,7,False,Partai Gelombang Rakyat Indonesia,Partai Gelombang Rakyat Indonesia,7,#02CCFF,111505
2024-02-17 16:00:02,100008,8,False,Partai Keadilan Sejahtera,Partai Keadilan Sejahtera,8,#FC5100,1302843
2024-02-17 16:00:02,100009,9,False,Partai Kebangkitan Nusantara,Partai Kebangkitan Nusantara,9,#FE0000,27663
2024-02-17 16:00:02,100010,10,False,Partai Hati Nurani Rakyat,Partai Hati Nurani Rakyat,10,#EE9B11,57376
2024-02-17 16:00:02,100011,11,False,Partai Garda Republik Indonesia,Partai Garda Republik Indonesia,11,#01274D,33230
2024-02-17 16:00:02,100012,12,False,Partai Amanat Nasional,Partai Amanat Nasional,12,#0054A3,784584
2024-02-17 16:00:02,100013,13,False,Partai Bulan Bintang,Partai Bulan Bintang,13,#00331C,46306
2024-02-17 16:00:02,100014,14,False,Partai Demokrat,Partai Demokrat,14,#004C9A,691505
2024-02-17 16:00:02,100015,15,False,Partai Solidaritas Indonesia,Partai Solidaritas Indonesia,15,#E62128,296291
2024-02-17 16:00:02,100016,16,False,PARTAI PERINDO,PARTAI PERINDO,16,#243E80,101384
2024-02-17 16:00:02,100017,17,False,Partai Persatuan Pembangunan,Partai Persatuan Pembangunan,17,#036302,561388
2024-02-17 16:00:02,100024,24,False,Partai Ummat,Partai Ummat,24,#000000,50884
