nama,id,kode,tingkat,provinsi,kode_provinsi
BANDUNG,191272,3204,2,JAWA BARAT,32
BANDUNG BARAT,191285,3217,2,JAWA BARAT,32
BEKASI,191284,3216,2,JAWA BARAT,32
BOGOR,127885,3201,2,JAWA BARAT,32
CIAMIS,191275,3207,2,JAWA BARAT,32
CIANJUR,191271,3203,2,JAWA BARAT,32
CIREBON,191277,3209,2,JAWA BARAT,32
GARUT,191273,3205,2,JAWA BARAT,32
INDRAMAYU,191281,3212,2,JAWA BARAT,32
KARAWANG,191283,3215,2,JAWA BARAT,32
KOTA BANDUNG,191289,3273,2,JAWA BARAT,32
KOTA BANJAR,134462,3279,2,JAWA BARAT,32
KOTA BEKASI,191291,3275,2,JAWA BARAT,32
KOTA BOGOR,191287,3271,2,JAWA BARAT,32
KOTA CIMAHI,191292,3277,2,JAWA BARAT,32
KOTA CIREBON,191290,3274,2,JAWA BARAT,32
KOTA DEPOK,191279,3276,2,JAWA BARAT,32
KOTA SUKABUMI,191288,3272,2,JAWA BARAT,32
KOTA TASIKMALAYA,191293,3278,2,JAWA BARAT,32
KUNINGAN,191276,3208,2,JAWA BARAT,32
MAJALENGKA,191278,3210,2,JAWA BARAT,32
PANGANDARAN,191286,3218,2,JAWA BARAT,32
PURWAKARTA,191282,3214,2,JAWA BARAT,32
SUBANG,132551,3213,2,JAWA BARAT,32
SUKABUMI,191270,3202,2,JAWA BARAT,32
SUMEDANG,191280,3211,2,JAWA BARAT,32
TASIKMALAYA,191274,3206,2,JAWA BARAT,32
