nama,id,kode,tingkat,provinsi,kode_provinsi,kab_kota,kode_kab_kota
BANJARWANGI,129763,320523,3,JAWA BARAT,32,GARUT,3205
BANYURESMI,129540,320506,3,JAWA BARAT,32,GARUT,3205
BAYONGBONG,129680,320517,3,JAWA BARAT,32,GARUT,3205
BL. LIMBANGAN,129907,320538,3,JAWA BARAT,32,GARUT,3205
BUNGBULANG,129842,320531,3,JAWA BARAT,32,GARUT,3205
CARINGIN,129892,320536,3,JAWA BARAT,32,GARUT,3205
CIBALONG,129818,320529,3,JAWA BARAT,32,GARUT,3205
CIBATU,129619,320512,3,JAWA BARAT,32,GARUT,3205
CIBIUK,129930,320540,3,JAWA BARAT,32,GARUT,3205
CIGEDUG,129699,320518,3,JAWA BARAT,32,GARUT,3205
CIHURIP,129785,320525,3,JAWA BARAT,32,GARUT,3205
CIKAJANG,129750,320522,3,JAWA BARAT,32,GARUT,3205
CIKELET,129830,320530,3,JAWA BARAT,32,GARUT,3205
CILAWU,129705,320519,3,JAWA BARAT,32,GARUT,3205
CISEWU,129882,320535,3,JAWA BARAT,32,GARUT,3205
CISOMPET,129806,320528,3,JAWA BARAT,32,GARUT,3205
CISURUPAN,129724,320520,3,JAWA BARAT,32,GARUT,3205
GARUT KOTA,129470,320501,3,JAWA BARAT,32,GARUT,3205
KADUNGORA,126221,320510,3,JAWA BARAT,32,GARUT,3205
KARANGPAWITAN,126165,320502,3,JAWA BARAT,32,GARUT,3205
KARANGTENGAH,129675,320516,3,JAWA BARAT,32,GARUT,3205
KERSAMANAH,129631,320513,3,JAWA BARAT,32,GARUT,3205
LELES,129583,320509,3,JAWA BARAT,32,GARUT,3205
LEUWIGOONG,129610,320511,3,JAWA BARAT,32,GARUT,3205
MALANGBONG,129638,320514,3,JAWA BARAT,32,GARUT,3205
MEKARMUKTI,129856,320532,3,JAWA BARAT,32,GARUT,3205
PAKENJENG,129862,320533,3,JAWA BARAT,32,GARUT,3205
PAMEUNGPEUK,129797,320527,3,JAWA BARAT,32,GARUT,3205
PAMULIHAN,129876,320534,3,JAWA BARAT,32,GARUT,3205
PANGATIKAN,129936,320541,3,JAWA BARAT,32,GARUT,3205
PASIRWANGI,129570,320508,3,JAWA BARAT,32,GARUT,3205
PEUNDEUY,129790,320526,3,JAWA BARAT,32,GARUT,3205
SAMARANG,129556,320507,3,JAWA BARAT,32,GARUT,3205
SELAAWI,129922,320539,3,JAWA BARAT,32,GARUT,3205
SINGAJAYA,129775,320524,3,JAWA BARAT,32,GARUT,3205
SUCINARAJA,129945,320542,3,JAWA BARAT,32,GARUT,3205
SUKARESMI,129742,320521,3,JAWA BARAT,32,GARUT,3205
SUKAWENING,129663,320515,3,JAWA BARAT,32,GARUT,3205
TALEGONG,129899,320537,3,JAWA BARAT,32,GARUT,3205
TAROGONG KALER,129512,320504,3,JAWA BARAT,32,GARUT,3205
TAROGONG KIDUL,129526,320505,3,JAWA BARAT,32,GARUT,3205
WANARAJA,129502,320503,3,JAWA BARAT,32,GARUT,3205
