nama,id,kode,tingkat
ACEH,100054,11,1
BALI,191103,51,1
BANTEN,191100,36,1
BENGKULU,191092,17,1
DAERAH ISTIMEWA YOGYAKARTA,191098,34,1
DKI JAKARTA,191095,31,1
GORONTALO,191053,75,1
JAMBI,191089,15,1
JAWA BARAT,191096,32,1
JAWA TENGAH,191097,33,1
JAWA TIMUR,191099,35,1
KALIMANTAN BARAT,191101,61,1
KALIMANTAN SELATAN,191106,63,1
KALIMANTAN TENGAH,191102,62,1
KALIMANTAN TIMUR,191107,64,1
KALIMANTAN UTARA,191108,65,1
KEPULAUAN BANGKA BELITUNG,191094,19,1
KEPULAUAN RIAU,191091,21,1
LAMPUNG,191093,18,1
Luar Negeri,200001,99,1
MALUKU,191115,81,1
MALUKU UTARA,191116,82,1
NUSA TENGGARA BARAT,191104,52,1
NUSA TENGGARA TIMUR,191105,53,1
P A P U A,191117,91,1
PAPUA BARAT,191118,92,1
PAPUA BARAT DAYA,191121,96,1
PAPUA PEGUNUNGAN,191120,95,1
PAPUA SELATAN,191114,93,1
PAPUA TENGAH,191119,94,1
RIAU,191088,14,1
SULAWESI BARAT,191113,76,1
SULAWESI SELATAN,191111,73,1
SULAWESI TENGAH,191110,72,1
SULAWESI TENGGARA,191112,74,1
SULAWESI UTARA,191109,71,1
SUMATERA BARAT,191087,13,1
SUMATERA SELATAN,191090,16,1
SUMATERA UTARA,191086,12,1
